n_sick,calls,n_duty,n_sby,sby_need,dafted,year,month,day_of_week,season_Autumn,season_Spring,season_Summer,season_Winter,adjusted_need,calls_per_duty,month_sin,month_cos,day_of_week_sin,day_of_week_cos,avg_calls_last_30_days,avg_sick_last_30_days,outlier,adjusted_need_cleaned
73,8154.0,1700,90,4.0,0.0,2016,4,4,False,True,False,False,4.0,4.7964705882352945,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,8154.0,73.0,False,4.0
64,8526.0,1700,90,70.0,0.0,2016,4,5,False,True,False,False,70.0,5.015294117647059,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,8340.0,68.5,False,70.0
68,8088.0,1700,90,0.0,0.0,2016,4,6,False,True,False,False,90.0,4.75764705882353,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,8256.0,68.33333333333333,False,90.0
71,7044.0,1700,90,0.0,0.0,2016,4,0,False,True,False,False,90.0,4.143529411764706,0.8660254037844387,-0.4999999999999998,0.0,1.0,7953.0,69.0,False,90.0
63,7236.0,1700,90,0.0,0.0,2016,4,1,False,True,False,False,90.0,4.2564705882352944,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,7809.6,67.8,False,90.0
70,6492.0,1700,90,0.0,0.0,2016,4,2,False,True,False,False,90.0,3.8188235294117647,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,7590.0,68.16666666666667,False,90.0
64,6204.0,1700,90,0.0,0.0,2016,4,3,False,True,False,False,90.0,3.6494117647058824,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,7392.0,67.57142857142857,False,90.0
62,7614.0,1700,90,0.0,0.0,2016,4,4,False,True,False,False,90.0,4.478823529411764,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,7419.75,66.875,False,90.0
51,5706.0,1700,90,0.0,0.0,2016,4,5,False,True,False,False,90.0,3.356470588235294,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,7229.333333333333,65.11111111111111,False,90.0
54,6606.0,1700,90,0.0,0.0,2016,4,6,False,True,False,False,90.0,3.8858823529411763,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,7167.0,64.0,False,90.0
50,6822.0,1700,90,0.0,0.0,2016,4,0,False,True,False,False,90.0,4.012941176470588,0.8660254037844387,-0.4999999999999998,0.0,1.0,7135.636363636364,62.72727272727273,False,90.0
49,6060.0,1700,90,0.0,0.0,2016,4,1,False,True,False,False,90.0,3.5647058823529414,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,7046.0,61.583333333333336,False,90.0
53,5964.0,1700,90,0.0,0.0,2016,4,2,False,True,False,False,90.0,3.508235294117647,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,6962.7692307692305,60.92307692307692,False,90.0
52,5928.0,1700,90,0.0,0.0,2016,4,3,False,True,False,False,90.0,3.4870588235294115,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,6888.857142857143,60.285714285714285,False,90.0
63,7608.0,1700,90,0.0,0.0,2016,4,4,False,True,False,False,90.0,4.475294117647059,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,6936.8,60.46666666666667,False,90.0
55,6768.0,1700,90,0.0,0.0,2016,4,5,False,True,False,False,90.0,3.981176470588235,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,6926.25,60.125,False,90.0
51,7242.0,1700,90,0.0,0.0,2016,4,6,False,True,False,False,90.0,4.26,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,6944.823529411765,59.588235294117645,False,90.0
59,6768.0,1700,90,0.0,0.0,2016,4,0,False,True,False,False,90.0,3.981176470588235,0.8660254037844387,-0.4999999999999998,0.0,1.0,6935.0,59.55555555555556,False,90.0
57,8676.0,1700,90,93.0,3.0,2016,4,1,False,True,False,False,93.0,5.103529411764706,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,7026.631578947368,59.421052631578945,False,93.0
53,6270.0,1700,90,0.0,0.0,2016,4,2,False,True,False,False,90.0,3.6882352941176473,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,6988.8,59.1,False,90.0
63,7818.0,1700,90,0.0,0.0,2016,4,3,False,True,False,False,90.0,4.5988235294117645,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,7028.285714285715,59.285714285714285,False,90.0
68,5712.0,1700,90,0.0,0.0,2016,4,4,False,True,False,False,90.0,3.36,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,6968.454545454545,59.68181818181818,False,90.0
62,5166.0,1700,90,0.0,0.0,2016,4,5,False,True,False,False,90.0,3.038823529411765,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,6890.086956521739,59.78260869565217,False,90.0
71,4884.0,1700,90,0.0,0.0,2016,4,6,False,True,False,False,90.0,2.8729411764705883,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,6806.5,60.25,False,90.0
72,5880.0,1700,90,0.0,0.0,2016,4,0,False,True,False,False,90.0,3.458823529411765,0.8660254037844387,-0.4999999999999998,0.0,1.0,6769.44,60.72,False,90.0
65,6576.0,1700,90,0.0,0.0,2016,4,1,False,True,False,False,90.0,3.868235294117647,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,6762.0,60.88461538461539,False,90.0
62,7620.0,1700,90,0.0,0.0,2016,4,2,False,True,False,False,90.0,4.482352941176471,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,6793.777777777777,60.925925925925924,False,90.0
66,6870.0,1700,90,0.0,0.0,2016,4,3,False,True,False,False,90.0,4.041176470588235,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,6796.5,61.107142857142854,False,90.0
64,7554.0,1700,90,0.0,0.0,2016,4,4,False,True,False,False,90.0,4.443529411764706,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,6822.620689655172,61.206896551724135,False,90.0
65,5424.0,1700,90,0.0,0.0,2016,4,5,False,True,False,False,90.0,3.1905882352941175,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,6776.0,61.333333333333336,False,90.0
54,8400.0,1700,90,34.0,0.0,2016,5,6,False,True,False,False,34.0,4.9411764705882355,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,6784.2,60.7,False,34.0
63,7782.0,1700,90,0.0,0.0,2016,5,0,False,True,False,False,90.0,4.57764705882353,0.49999999999999994,-0.8660254037844387,0.0,1.0,6759.4,60.666666666666664,False,90.0
61,7716.0,1700,90,0.0,0.0,2016,5,1,False,True,False,False,90.0,4.538823529411765,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,6747.0,60.43333333333333,False,90.0
58,8340.0,1700,90,26.0,0.0,2016,5,2,False,True,False,False,26.0,4.905882352941177,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,6790.2,60.0,False,26.0
57,8064.0,1700,90,0.0,0.0,2016,5,3,False,True,False,False,90.0,4.7435294117647056,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,6817.8,59.8,False,90.0
59,7404.0,1700,90,0.0,0.0,2016,5,4,False,True,False,False,90.0,4.355294117647059,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,6848.2,59.43333333333333,False,90.0
57,8868.0,1700,90,131.0,41.0,2016,5,5,False,True,False,False,131.0,5.216470588235294,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,6937.0,59.2,False,131.0
61,6504.0,1700,90,0.0,0.0,2016,5,6,False,True,False,False,90.0,3.8258823529411763,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,6900.0,59.166666666666664,False,90.0
65,7788.0,1700,90,0.0,0.0,2016,5,0,False,True,False,False,90.0,4.581176470588235,0.49999999999999994,-0.8660254037844387,0.0,1.0,6969.4,59.63333333333333,False,90.0
68,6978.0,1700,90,0.0,0.0,2016,5,1,False,True,False,False,90.0,4.104705882352941,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,6981.8,60.1,False,90.0
61,7512.0,1700,90,0.0,0.0,2016,5,2,False,True,False,False,90.0,4.418823529411765,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,7004.8,60.46666666666667,False,90.0
55,7434.0,1700,90,0.0,0.0,2016,5,3,False,True,False,False,90.0,4.372941176470588,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,7050.6,60.666666666666664,False,90.0
56,8370.0,1700,90,30.0,0.0,2016,5,4,False,True,False,False,30.0,4.923529411764706,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,7130.8,60.766666666666666,False,30.0
50,8136.0,1700,90,0.0,0.0,2016,5,5,False,True,False,False,90.0,4.785882352941177,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,7204.4,60.7,False,90.0
57,7674.0,1700,90,0.0,0.0,2016,5,6,False,True,False,False,90.0,4.514117647058823,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,7206.6,60.5,False,90.0
52,9048.0,1700,90,162.0,72.0,2016,5,0,False,True,False,False,162.0,5.3223529411764705,0.49999999999999994,-0.8660254037844387,0.0,1.0,7282.6,60.4,False,162.0
53,8550.0,1700,90,63.0,0.0,2016,5,1,False,True,False,False,63.0,5.029411764705882,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,7326.2,60.46666666666667,False,63.0
52,8184.0,1700,90,0.0,0.0,2016,5,2,False,True,False,False,90.0,4.814117647058824,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,7373.4,60.233333333333334,False,90.0
51,8352.0,1700,90,22.0,0.0,2016,5,3,False,True,False,False,22.0,4.912941176470588,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,7362.6,60.03333333333333,False,22.0
57,5790.0,1700,90,0.0,0.0,2016,5,4,False,True,False,False,90.0,3.4058823529411764,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,7346.6,60.166666666666664,False,90.0
56,8382.0,1700,90,33.0,0.0,2016,5,5,False,True,False,False,33.0,4.930588235294118,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,7365.4,59.93333333333333,False,33.0
58,6516.0,1700,90,0.0,0.0,2016,5,6,False,True,False,False,90.0,3.8329411764705883,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,7392.2,59.6,False,90.0
57,7824.0,1700,90,0.0,0.0,2016,5,0,False,True,False,False,90.0,4.602352941176471,0.49999999999999994,-0.8660254037844387,0.0,1.0,7480.8,59.43333333333333,False,90.0
55,6312.0,1700,90,0.0,0.0,2016,5,1,False,True,False,False,90.0,3.712941176470588,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,7528.4,58.9,False,90.0
49,8196.0,1700,90,0.0,0.0,2016,5,2,False,True,False,False,90.0,4.821176470588235,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,7605.6,58.13333333333333,False,90.0
46,8124.0,1700,90,0.0,0.0,2016,5,3,False,True,False,False,90.0,4.778823529411765,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,7657.2,57.5,False,90.0
